Order	Lambda	Cal	Bkgrnd
	(um)	(DN/s/col)	(DN/s/pix)
3	2.4647727	136.16	35.046
3	2.4644895	118.76	49.743
3	2.4642062	107.98	52.577
3	2.463923	119.21	44.355
3	2.4636397	126.5	41.96
3	2.4633563	116.7	51.171
3	2.463073	93.843	80.034
3	2.4627898	59.232	107.77
3	2.4625065	51.122	106.11
3	2.4622231	74.461	76.771
3	2.4619398	112.58	50.673
3	2.4616566	129.65	37.968
3	2.4613731	135.45	32.793
3	2.4610898	138.04	29.933
3	2.4608066	143.92	26.939
3	2.4605231	144.74	24.839
3	2.4602399	144.44	23.988
3	2.4599564	146.73	24.773
3	2.4596732	144.56	26.556
3	2.4593897	139.97	27.649
3	2.4591064	144.01	27.039
3	2.458823	145.49	25.475
3	2.4585397	145.35	24.115
3	2.4582562	149.92	23.642
3	2.4579728	150.32	23.417
3	2.4576895	147.98	23.556
3	2.457406	148.92	23.519
3	2.4571228	148.31	24.759
3	2.4568393	143.8	26.564
3	2.4565558	145.64	27.386
3	2.4562726	143.44	26.427
3	2.4559891	147.4	25.345
3	2.4557056	148.51	25.23
3	2.4554222	145.09	27.84
3	2.4551389	137.38	38.071
3	2.4548554	112.19	66.666
3	2.454572	83.868	81.688
3	2.4542885	88.416	72.065
3	2.454005	104.12	63.678
3	2.4537215	103.93	59.629
3	2.453438	114.04	50.654
3	2.4531548	132.78	37.482
3	2.4528713	144.17	31.449
3	2.4525878	147.72	30.656
3	2.4523044	143.05	34.839
3	2.4520209	130.67	46.654
3	2.4517374	108.16	70.739
3	2.4514539	70.056	101.2
3	2.4511704	43.035	112.32
3	2.4508867	54.088	98.325
3	2.4506032	80.486	86.419
3	2.4503198	75.88	90.022
3	2.4500363	66.354	87.614
3	2.4497528	96.327	65.635
3	2.4494693	129.04	42.852
3	2.4491858	143.14	30.8
3	2.4489021	148.24	28.391
3	2.4486187	154.08	30.364
3	2.4483352	139.65	41.37
3	2.4480517	118.68	55.688
3	2.447768	111.03	61.42
3	2.4474845	104.52	71.548
3	2.447201	86.597	79.373
3	2.4469173	92.144	71.859
3	2.4466338	102.54	65.849
3	2.4463503	90.726	86.528
3	2.4460666	57.343	108.45
3	2.4457831	50.989	102.57
3	2.4454994	86.214	71.449
3	2.4452159	127.58	44.682
3	2.4449322	146.02	33.208
3	2.4446487	150.94	28.568
3	2.444365	158.27	26.562
3	2.4440815	154.46	25.337
3	2.4437978	160.21	24.833
3	2.4435143	156.02	26.324
3	2.4432306	150.89	34.711
3	2.4429469	136.62	44.832
3	2.4426634	129.82	43.26
3	2.4423797	143.84	32.854
3	2.442096	160.53	25.119
3	2.4418125	161.02	23.111
3	2.4415288	161.89	22.746
3	2.4412451	165.08	21.979
3	2.4409616	164.25	21.697
3	2.4406779	163.91	21.686
3	2.4403942	166.39	22.071
3	2.4401104	164.51	22.336
3	2.4398267	166.72	22.257
3	2.439543	164.79	21.532
3	2.4392595	165.61	21.71
3	2.4389758	165.93	22.154
3	2.4387052	164.27	22.554
3	2.4384215	165.76	22.978
3	2.4381378	165.48	23.609
3	2.4378541	163.93	24.424
3	2.4375703	159.24	25.72
3	2.4372866	159.62	28.053
3	2.4370029	149.25	35.902
3	2.4367192	123.5	61.024
3	2.4364355	78.251	92.199
3	2.4361517	51.591	105.35
3	2.435868	52.514	106.69
3	2.4355843	48.923	111.75
3	2.4353006	34.668	118.06
3	2.4350166	47.847	103.02
3	2.4347329	85.033	75.45
3	2.4344492	125.34	50.934
3	2.4341655	147.53	35.386
3	2.4338818	157.44	31.811
3	2.4335978	145.09	43.356
3	2.4333141	120.72	56.054
3	2.4330304	118.11	52.879
3	2.4327464	144.21	37.675
3	2.4324627	162.02	27.543
3	2.432179	168.03	23.669
3	2.431895	172.69	21.99
3	2.4316113	171.03	21.59
3	2.4313276	168.86	21.254
3	2.4310436	172.73	21.181
3	2.4307599	172.15	21.251
3	2.430476	174.32	21.332
3	2.4301922	175.28	21.615
3	2.4299083	169.07	22.344
3	2.4296246	169.48	22.485
3	2.4293406	173.31	22.351
3	2.4290569	172.13	22.169
3	2.4287729	172.01	21.418
3	2.428489	171.92	20.816
3	2.4282053	174.44	20.36
3	2.4279213	173.06	20.969
3	2.4276373	168.34	21.738
3	2.4273536	169.23	21.962
3	2.4270697	171.46	22.381
3	2.4267857	164.5	27.898
3	2.4265018	140.71	46.792
3	2.426218	122.46	54.314
3	2.4259341	133.55	42.262
3	2.4256501	159.87	27.523
3	2.4253662	166.71	25.643
3	2.4250822	166.33	26.937
3	2.4247985	161.68	27.054
3	2.4245145	161.19	29.268
3	2.4242306	145.87	45.079
3	2.4239466	121.1	52.909
3	2.4236627	133.66	41.832
3	2.4233787	162.8	26.349
3	2.4230947	173.32	22.303
3	2.4228108	175.06	21.603
3	2.4225268	174.04	23.122
3	2.4222429	168.15	29.922
3	2.4219589	153.36	34.811
3	2.421675	158.59	30.706
3	2.4213908	141.2	23.355
3	2.4211068	177.12	21.448
3	2.4208229	175.93	21.751
3	2.4205389	176.49	22.53
3	2.4202549	173.72	23.716
3	2.419971	171.51	28.231
3	2.4196868	147.03	45.673
3	2.4194028	103.91	76.963
3	2.4191189	69.588	90.758
3	2.4188349	66.696	91.296
3	2.4185507	79.512	82.621
3	2.4182668	94.33	67.313
3	2.4179828	142.13	41.194
3	2.4176986	168.76	28.097
3	2.4174147	167.27	24.189
3	2.4171305	155.95	23.994
3	2.4168465	174.2	26.175
3	2.4165623	164.5	37.421
3	2.4162784	125.5	65.754
3	2.4159942	72.775	90.334
3	2.4157102	68.951	81.57
3	2.415426	119.71	52.855
3	2.4151421	161.79	30.991
3	2.4148579	173.81	27.197
3	2.4145739	159.03	40.413
3	2.4142897	133.64	53.622
3	2.4140055	124.76	52.439
3	2.4137216	147.25	38.569
3	2.4134374	166.27	29.204
3	2.4131532	177.64	22.475
3	2.4128692	187.19	20.343
3	2.412585	181.48	22.171
3	2.4123008	180.11	26.852
3	2.4120166	167.71	34.611
3	2.4117327	153.05	40.992
3	2.4114485	153.9	37.055
3	2.4111643	174.42	24.706
3	2.4108801	188.16	20.494
3	2.4106095	185.77	21.278
3	2.4103253	174.02	26.688
3	2.4100411	156.17	44.05
3	2.4097569	130.47	50.425
3	2.4094727	141.8	40.58
3	2.4091885	172.29	24.55
3	2.4089043	178.22	20.639
3	2.4086201	187.42	19.648
3	2.4083359	188.71	20.348
3	2.4080517	177.21	25.365
3	2.4077675	158.28	39.135
3	2.4074833	142.36	45.14
3	2.4071991	143.02	47.804
3	2.4069147	135.94	50.7
3	2.4066305	139.79	44.333
3	2.4063463	165.76	32.715
3	2.4060621	172.76	30.259
3	2.4057779	170.42	28.622
3	2.4054937	178.6	23.622
3	2.4052093	186.34	21.701
3	2.4049251	188.12	21.627
3	2.4046409	179.5	30.142
3	2.4043565	140.92	52.325
3	2.4040723	110.7	59.424
3	2.4037881	142.08	39.874
3	2.4035037	178.66	24.097
3	2.4032195	184.3	20.477
3	2.402935	189.89	19.363
3	2.4026508	191.73	18.528
3	2.4023666	193.66	18.569
3	2.4020822	190.51	20.358
3	2.401798	187.59	22.056
3	2.4015136	187.54	21.302
3	2.4012294	194.15	19.124
3	2.4009449	193.09	18.903
3	2.4006605	185.33	23.738
3	2.4003763	167.59	31.482
3	2.4000919	166.57	31.04
3	2.3998075	184.49	23.227
3	2.3995233	190.38	19.566
3	2.3992388	194.26	18.978
3	2.3989544	192.88	18.671
3	2.3986702	190.08	19.392
3	2.3983858	194.75	19.78
3	2.3981013	192.45	20.15
3	2.3978169	192.93	20.207
3	2.3975327	186.74	25.166
3	2.3972483	172.25	33.19
3	2.3969638	155.9	42.335
3	2.3966794	140.11	46.71
3	2.396395	140.92	39.674
3	2.3961105	179.07	25.279
3	2.3958261	195	19.939
3	2.3955417	196.63	19.458
3	2.3952572	190.91	19.346
3	2.3949728	187.9	18.985
3	2.3946884	192.09	22.167
3	2.3944039	181.23	25.199
3	2.3941195	182.65	24.358
3	2.3938351	190.87	20.145
3	2.3935506	200.25	18.627
3	2.3932662	191.23	19.335
3	2.3929818	191.14	19.298
3	2.3926973	191.34	19.309
3	2.3924129	195.45	19.672
3	2.3921282	198.31	20.828
3	2.3918438	188.32	28.004
3	2.3915594	153.93	48.393
3	2.3912749	118.84	54.255
3	2.3909903	147.02	36.544
3	2.3907058	182.73	23.932
3	2.3904214	196.92	20.292
3	2.3901367	195.61	19.997
3	2.3898523	185.45	20.59
3	2.3895679	182.52	19.574
3	2.3892832	197.28	18.396
3	2.3889987	202.89	18.04
3	2.3887141	203.35	19.127
3	2.3884296	192.11	27.686
3	2.388145	163.88	42.618
3	2.3878605	145.22	42.325
3	2.3875759	174.94	27.799
3	2.3872914	187.99	20.676
3	2.3870068	198.3	19.667
3	2.3867223	195.08	20.947
3	2.3864377	182.37	25.014
3	2.3861532	168.2	34.644
3	2.3858685	155.92	39.837
3	2.3855839	167.79	32.72
3	2.3852994	198.29	20.928
3	2.3850148	203.19	19.015
3	2.3847301	200.8	20.691
3	2.3844454	183.68	27.89
3	2.384161	156.46	43.375
3	2.3838763	134.55	48.31
3	2.3835917	144.32	44.15
3	2.383307	158.87	39.447
3	2.3830223	151.12	34.808
3	2.3827512	174.38	25.375
3	2.3824668	197.49	21.345
3	2.3821821	204.24	19.408
3	2.3818974	211.72	17.556
3	2.3816128	210.36	16.421
3	2.3813281	211.34	16.559
3	2.3810434	207.02	19.036
3	2.3807588	195.08	22.688
3	2.3804741	189.04	23.852
3	2.3801894	186.86	22.125
3	2.3799047	189.08	22.277
3	2.3796201	189.84	22.959
3	2.3793352	197.22	21.438
3	2.3790505	210.81	18.805
3	2.3787658	209.29	18.866
3	2.3784811	194.32	28.901
3	2.3781965	157.92	44.324
3	2.3779118	143.28	42.543
3	2.3776269	183.44	27.362
3	2.3773422	197.64	21.587
3	2.3770576	188.28	22.406
3	2.3767726	174.85	27.655
3	2.376488	161.34	32.235
3	2.3762033	176.35	28.891
3	2.3759184	195.93	20.74
3	2.3756337	211.01	16.985
3	2.375349	212.62	16.893
3	2.3750641	208.42	17.76
3	2.3747795	202.01	17.799
3	2.3744946	203.12	17.386
3	2.3742099	213.65	16.711
3	2.373925	212.17	17.207
3	2.3736403	203.46	18.487
3	2.3733554	197.09	18.236
3	2.3730707	201.2	19.321
3	2.3727858	192.18	21.263
3	2.3725011	181.73	21.952
3	2.3722162	180.26	21.949
3	2.3719313	176.3	24.63
3	2.3716466	160.4	32.897
3	2.3713617	128.84	40.985
3	2.3710768	124.74	39.729
3	2.3707919	134.14	36.409
3	2.3705072	119.42	36.771
3	2.3702223	119.27	32.764
3	2.3699374	159.12	24.169
3	2.3696525	195.7	18.934
3	2.3693678	212.7	18.035
3	2.3690829	204.61	23.229
3	2.368798	190.67	26.264
3	2.3685131	195.45	23.174
3	2.3682282	211.19	18.013
3	2.3679433	212.56	17.818
3	2.3676584	198.24	20.55
3	2.3673735	174.33	26.345
3	2.3670886	178.35	26.762
3	2.3668036	203.83	21.019
3	2.3665187	217.87	16.729
3	2.3662338	215.3	16.509
3	2.3659489	208.01	16.45
3	2.365664	222.02	14.929
3	2.3653791	227.37	14.755
3	2.3650942	225.42	15.044
3	2.3648093	220.97	15.576
3	2.3645241	213.5	16.863
3	2.3642392	205.96	19.831
3	2.3639543	205.09	24.278
3	2.3636694	201.77	23.524
3	2.3633842	215.54	18.413
3	2.3630993	224.77	16.199
3	2.3628144	226.63	15.137
3	2.3625295	227.08	14.677
3	2.3622444	226.82	14.54
3	2.3619595	223.25	15.484
3	2.3616743	208.62	17.811
3	2.3613894	198.42	17.81
3	2.3611045	217.08	15.559
3	2.3608193	229.48	14.476
3	2.3605344	233.39	14.423
3	2.3602493	231.75	14.392
3	2.3599644	232.39	14.481
3	2.3596792	230.55	14.164
3	2.3593943	229.18	14.313
3	2.3591092	219.78	16.779
3	2.3588243	193.5	22.404
3	2.3585391	163.86	26.431
3	2.358254	176.68	23.781
3	2.357969	202.65	18.636
3	2.3576839	221.26	16
3	2.3573987	225.48	16.131
3	2.3571138	220.04	17.519
3	2.3568287	215.85	18.323
3	2.3565435	220.14	17.699
3	2.3562584	213.36	18.044
3	2.3559735	188.95	20.496
3	2.3556883	179	20.024
3	2.3554032	205.42	17.114
3	2.355118	222.88	15.171
3	2.3548465	225.72	15.44
3	2.3545613	218.66	15.76
3	2.3542762	219	14.993
3	2.353991	230.12	15.349
3	2.3537059	223.97	17.419
3	2.353421	199.72	19.826
3	2.3531358	197.31	19.619
3	2.3528507	210.95	21.024
3	2.3525653	200.36	29.542
3	2.3522801	169.62	34.121
3	2.351995	184.55	29.159
3	2.3517098	196.55	27.372
3	2.3514247	192.14	26.001
3	2.3511395	208.06	21.067
3	2.3508544	198.94	20.647
3	2.3505692	185.1	22.018
3	2.3502839	189.57	20.417
3	2.3499987	204.87	20.273
3	2.3497136	210.23	22.003
3	2.3494284	207.14	21.364
3	2.3491433	216.76	17.46
3	2.3488579	222.92	15.519
3	2.3485727	227.61	15.932
3	2.3482876	206.27	17.375
3	2.3480022	198.59	18.38
3	2.347717	200.68	18.353
3	2.3474317	209	17.793
3	2.3471465	218.07	16.673
3	2.3468614	221.75	16.012
3	2.346576	214.78	16.314
3	2.3462908	217.72	15.616
3	2.3460054	231.36	14.966
3	2.3457203	227.46	15.395
3	2.3454349	222.45	16.332
3	2.3451498	216.82	18.552
3	2.3448644	209.53	19.415
3	2.344579	213.16	17.567
3	2.3442938	232.13	14.621
3	2.3440084	235.78	14.214
3	2.3437231	230.69	15.037
3	2.3434379	220.09	15.795
3	2.3431525	226.8	15.138
3	2.3428671	229.1	14.298
3	2.342582	231.43	14.392
3	2.3422966	227.09	16.739
3	2.3420112	220.3	21.028
3	2.3417258	209.42	20.341
3	2.3414404	219.96	17.847
3	2.3411553	213.67	18.525
3	2.3408699	211.35	18.083
3	2.3405845	220.56	17.517
3	2.3402991	210.05	19.288
3	2.3400137	195.01	20.397
3	2.3397284	200.45	18.123
3	2.339443	219.01	15.412
3	2.3391576	234.56	14.743
3	2.3388722	229.87	16.396
3	2.3385868	225.7	16.9
3	2.3383014	221.78	16.051
3	2.338016	218	14.744
3	2.3377306	235.73	13.737
3	2.3374453	244.92	13.284
3	2.3371599	243.71	12.89
3	2.3368745	244.96	12.87
3	2.3365889	243.74	13.178
3	2.3363035	242.49	13.568
3	2.3360181	233.92	14.074
3	2.3357327	230.93	13.727
3	2.3354473	242.77	13.317
3	2.3351617	243.29	14.396
3	2.3348763	234.02	15.134
3	2.3345909	231.83	14.232
3	2.3343053	237.14	13.492
3	2.3340199	237.73	13.803
3	2.3337345	239.29	13.411
3	2.3334489	243.28	12.727
3	2.3331635	245.23	12.393
3	2.3328779	249.13	12.746
3	2.3325925	242.18	13.219
3	2.3323071	239.04	13.785
3	2.3320215	234.48	13.737
3	2.3317361	230.69	14.688
3	2.3314505	228.84	15.038
3	2.3311651	240.8	14.198
3	2.3308794	244.45	13.619
